hospital_name,node_name,latitude,longitude
Rumah Sakit Bhayangkara,Klinik Unesa,-7.3112852394190355,112.72943040972358  
Rumah Sakit Bhayangkara,1,-7.3100815796328025,112.72987080180941  
Rumah Sakit Bhayangkara,2,-7.309728893743635,112.73045472910741  
Rumah Sakit Bhayangkara,3,-7.309992078082717,112.73254098592012
Rumah Sakit Bhayangkara,4,-7.310176841296851,112.7329503428604
Rumah Sakit Bhayangkara,5,-7.311890140496419,112.73163606042003
Rumah Sakit Bhayangkara,6,-7.312464785984653,112.73154486530947
Rumah Sakit Bhayangkara,7,-7.312640371951262,112.73136247509326
Rumah Sakit Bhayangkara,8,-7.312718009302651,112.73127122032389
Rumah Sakit Bhayangkara,9,-7.318619954576199,112.72998173340459
Rumah Sakit Bhayangkara,10,-7.31858217085345,112.72944079759257
Rumah Sakit Bhayangkara,11,-7.322091216393606,112.72737761495753
Rumah Sakit Bhayangkara,12,-7.3230472164578675,112.7268692047516
Rumah Sakit Bhayangkara,13,-7.323316938242141,112.7267568785894
Rumah Sakit Bhayangkara,14,-7.325147015167237,112.72638952197019
Rumah Sakit Bhayangkara,15,-7.325348980503157,112.72648792215433
Rumah Sakit Bhayangkara,16,-7.32922102506024,112.7258451072187
Rumah Sakit Bhayangkara,17,-7.329252125717603,112.72760108947254
Rumah Sakit Bhayangkara,18,-7.329780835980908,112.73073677208546
Rumah Sakit Bhayangkara,19,-7.328661213504262,112.73103466193368
Rumah Sakit Bhayangkara,20,-7.328101401210715,112.73092491304223
Rumah Sakit Bhayangkara,21,-7.327075076845688,112.73065838002013
Rumah Sakit Bhayangkara,Rumah Sakit Bhayangkara,-7.325414279564775,112.73175812187613
Rumah Sakit Ramelan,Klinik Unesa,-7.3112852394190355,112.72943040972358
Rumah Sakit Ramelan,1,-7.3100815796328025,112.72987080180941
Rumah Sakit Ramelan,2,-7.309728893743635,112.73045472910741
Rumah Sakit Ramelan,3,-7.309992078082717,112.73254098592012
Rumah Sakit Ramelan,4,-7.309356603697332,112.73273508879385
Rumah Sakit Ramelan,5,-7.3093974543801075,112.73292399715804
Rumah Sakit Ramelan,6,-7.3093712963739925,112.7327345527389
Rumah Sakit Ramelan,7,-7.309409695058008,112.73294102358494
Rumah Sakit Ramelan,8,-7.303319178349219,112.7376910064642
Rumah Sakit Ramelan,9,-7.302910793866012,112.7368831924013
Rumah Sakit Ramelan,10,-7.307148809999581,112.73596076790388
Rumah Sakit Ramelan,11,-7.307195784446288,112.73620808750326
Rumah Sakit Ramelan,12,-7.3073575852804415,112.73619756326498
Rumah Sakit Ramelan,13,-7.307900400554115,112.73852868204197
Rumah Sakit Ramelan,Rumah Sakit Ramelan,-7.308010007404354,112.73846553661235
Rumah Sakit Islam,Klinik Unesa,-7.3112852394190355,112.72943040972358  
Rumah Sakit Islam,1,-7.3100815796328025,112.72987080180941  
Rumah Sakit Islam,2,-7.309728893743635,112.73045472910741  
Rumah Sakit Islam,3,-7.309992078082717,112.73254098592012  
Rumah Sakit Islam,4,-7.309356603697332,112.73273508879385
Rumah Sakit Islam,5,-7.3093974543801075,112.73292399715804
Rumah Sakit Islam,Rumah Sakit Islam,-7.3063608953889645,112.73535386779957
RSU Bakti Rahayu,Klinik Unesa,-7.311275826698049, 112.72942864333882
RSU Bakti Rahayu,1,-7.310068938764701, 112.72987110858848
RSU Bakti Rahayu,2,-7.309370598352847, 112.72795476394089
RSU Bakti Rahayu,3,-7.308317251813511, 112.72618480512577
RSU Bakti Rahayu,4,-7.308168027519595, 112.72553877015825
RSU Bakti Rahayu,5,-7.3097743805324145, 112.72496353351498
RSU Bakti Rahayu,6,-7.310274718816152, 112.72457414257565
RSU Bakti Rahayu,7,-7.31152995102593, 112.72416705203763
RSU Bakti Rahayu,8,-7.311250951233523, 112.72327840027405
